2017-05-08 22:54:09,611 mongodb.py[line:44] WARNING MongoDB delete all remarks.
2017-05-08 22:54:17,616 mongodb.py[line:20] INFO Insert dict is £º{'_id': ObjectId('591086998726e322c4632b84'), 'proxy': '221.224.166.2:80'}
2017-05-08 22:54:17,617 mongodb.py[line:20] INFO Insert dict is £º{'_id': ObjectId('591086998726e322c4632b85'), 'proxy': '120.83.99.73:808'}
2017-05-08 22:54:17,619 mongodb.py[line:20] INFO Insert dict is £º{'_id': ObjectId('591086998726e322c4632b86'), 'proxy': '180.110.7.97:808'}
2017-05-08 22:54:17,621 mongodb.py[line:20] INFO Insert dict is £º{'_id': ObjectId('591086998726e322c4632b87'), 'proxy': '119.254.102.90:8080'}
2017-05-08 22:54:17,623 mongodb.py[line:20] INFO Insert dict is £º{'_id': ObjectId('591086998726e322c4632b88'), 'proxy': '112.248.226.240:9999'}
2017-05-08 22:54:17,628 mongodb.py[line:20] INFO Insert dict is £º{'_id': ObjectId('591086998726e322c4632b89'), 'proxy': '210.38.1.139:8080'}
2017-05-08 22:54:17,630 mongodb.py[line:20] INFO Insert dict is £º{'_id': ObjectId('591086998726e322c4632b8a'), 'proxy': '210.61.209.184:80'}
2017-05-08 22:54:17,631 mongodb.py[line:20] INFO Insert dict is £º{'_id': ObjectId('591086998726e322c4632b8b'), 'proxy': '222.94.149.70:808'}
2017-05-08 22:54:17,633 mongodb.py[line:20] INFO Insert dict is £º{'_id': ObjectId('591086998726e322c4632b8c'), 'proxy': '171.36.164.210:9797'}
2017-05-08 22:54:17,635 mongodb.py[line:20] INFO Insert dict is £º{'_id': ObjectId('591086998726e322c4632b8d'), 'proxy': '115.200.3.137:8123'}
2017-05-08 22:54:17,638 mongodb.py[line:20] INFO Insert dict is £º{'_id': ObjectId('591086998726e322c4632b8e'), 'proxy': '180.110.134.129:808'}
2017-05-08 22:54:17,639 mongodb.py[line:20] INFO Insert dict is £º{'_id': ObjectId('591086998726e322c4632b8f'), 'proxy': '182.148.76.133:808'}
2017-05-08 22:54:17,641 mongodb.py[line:20] INFO Insert dict is £º{'_id': ObjectId('591086998726e322c4632b90'), 'proxy': '60.11.41.124:3128'}
2017-05-08 22:54:17,642 mongodb.py[line:20] INFO Insert dict is £º{'_id': ObjectId('591086998726e322c4632b91'), 'proxy': '113.83.217.230:9797'}
2017-05-08 22:54:17,643 mongodb.py[line:20] INFO Insert dict is £º{'_id': ObjectId('591086998726e322c4632b92'), 'proxy': '180.110.7.27:808'}
2017-05-08 22:54:17,644 mongodb.py[line:20] INFO Insert dict is £º{'_id': ObjectId('591086998726e322c4632b93'), 'proxy': '171.13.37.227:808'}
2017-05-08 22:54:17,645 mongodb.py[line:20] INFO Insert dict is £º{'_id': ObjectId('591086998726e322c4632b94'), 'proxy': '36.249.24.126:808'}
2017-05-08 22:54:17,646 mongodb.py[line:20] INFO Insert dict is £º{'_id': ObjectId('591086998726e322c4632b95'), 'proxy': '222.94.146.233:808'}
2017-05-08 22:54:17,647 mongodb.py[line:20] INFO Insert dict is £º{'_id': ObjectId('591086998726e322c4632b96'), 'proxy': '116.28.93.79:808'}
2017-05-08 22:54:17,648 mongodb.py[line:20] INFO Insert dict is £º{'_id': ObjectId('591086998726e322c4632b97'), 'proxy': '117.114.138.66:8080'}
2017-05-08 22:54:17,648 mongodb.py[line:20] INFO Insert dict is £º{'_id': ObjectId('591086998726e322c4632b98'), 'proxy': '222.85.50.172:808'}
2017-05-08 22:54:17,649 mongodb.py[line:20] INFO Insert dict is £º{'_id': ObjectId('591086998726e322c4632b99'), 'proxy': '58.247.46.26:80'}
2017-05-08 22:54:17,650 mongodb.py[line:20] INFO Insert dict is £º{'_id': ObjectId('591086998726e322c4632b9a'), 'proxy': '120.83.13.53:8080'}
2017-05-08 22:54:17,652 mongodb.py[line:20] INFO Insert dict is £º{'_id': ObjectId('591086998726e322c4632b9b'), 'proxy': '180.110.18.86:808'}
2017-05-08 22:54:17,653 mongodb.py[line:20] INFO Insert dict is £º{'_id': ObjectId('591086998726e322c4632b9c'), 'proxy': '114.99.9.69:808'}
2017-05-08 22:54:17,654 mongodb.py[line:20] INFO Insert dict is £º{'_id': ObjectId('591086998726e322c4632b9d'), 'proxy': '121.40.42.35:9999'}
2017-05-08 22:54:17,655 mongodb.py[line:20] INFO Insert dict is £º{'_id': ObjectId('591086998726e322c4632b9e'), 'proxy': '210.14.135.11:80'}
2017-05-08 22:54:17,656 mongodb.py[line:20] INFO Insert dict is £º{'_id': ObjectId('591086998726e322c4632b9f'), 'proxy': '123.10.99.46:9999'}
2017-05-08 22:54:17,657 mongodb.py[line:20] INFO Insert dict is £º{'_id': ObjectId('591086998726e322c4632ba0'), 'proxy': '171.38.180.106:8123'}
2017-05-08 22:54:17,663 mongodb.py[line:20] INFO Insert dict is £º{'_id': ObjectId('591086998726e322c4632ba1'), 'proxy': '171.36.179.13:9797'}
2017-05-08 22:54:17,664 mongodb.py[line:20] INFO Insert dict is £º{'_id': ObjectId('591086998726e322c4632ba2'), 'proxy': '117.69.234.206:3863'}
2017-05-08 22:54:17,665 mongodb.py[line:20] INFO Insert dict is £º{'_id': ObjectId('591086998726e322c4632ba3'), 'proxy': '221.224.91.28:80'}
2017-05-08 22:54:17,666 mongodb.py[line:20] INFO Insert dict is £º{'_id': ObjectId('591086998726e322c4632ba4'), 'proxy': '175.155.141.68:808'}
2017-05-08 22:54:17,667 mongodb.py[line:20] INFO Insert dict is £º{'_id': ObjectId('591086998726e322c4632ba5'), 'proxy': '171.38.18.195:8123'}
2017-05-08 22:54:17,667 mongodb.py[line:20] INFO Insert dict is £º{'_id': ObjectId('591086998726e322c4632ba6'), 'proxy': '218.249.154.71:8081'}
2017-05-08 22:54:17,671 mongodb.py[line:20] INFO Insert dict is £º{'_id': ObjectId('591086998726e322c4632ba7'), 'proxy': '113.121.244.174:808'}
2017-05-08 22:54:17,672 mongodb.py[line:20] INFO Insert dict is £º{'_id': ObjectId('591086998726e322c4632ba8'), 'proxy': '121.251.255.237:8080'}
2017-05-08 22:54:17,673 mongodb.py[line:20] INFO Insert dict is £º{'_id': ObjectId('591086998726e322c4632ba9'), 'proxy': '115.230.11.60:808'}
2017-05-08 22:54:17,674 mongodb.py[line:20] INFO Insert dict is £º{'_id': ObjectId('591086998726e322c4632baa'), 'proxy': '115.202.230.207:808'}
2017-05-08 22:54:17,674 mongodb.py[line:20] INFO Insert dict is £º{'_id': ObjectId('591086998726e322c4632bab'), 'proxy': '36.249.24.141:808'}
2017-05-08 22:54:17,676 mongodb.py[line:20] INFO Insert dict is £º{'_id': ObjectId('591086998726e322c4632bac'), 'proxy': '123.7.88.2:3128'}
2017-05-08 22:54:17,677 mongodb.py[line:20] INFO Insert dict is £º{'_id': ObjectId('591086998726e322c4632bad'), 'proxy': '175.43.106.164:808'}
2017-05-08 22:54:17,678 mongodb.py[line:20] INFO Insert dict is £º{'_id': ObjectId('591086998726e322c4632bae'), 'proxy': '114.80.143.250:8080'}
